SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00271 S5_DX msp7 msp7-14 10358 2 1 0.0193383007761085 0.0160060222387415
A00318 S5_DX msp7 msp7-14 11822 3 1 0.0212206067133369 0.0160060222387415
A00198 S6_D0 msp7 msp7-1 8029 1 1 0.0162876229077535 0.0236344628799933
A00245 S6_D0 msp7 msp7-1 13876 2 1 0.0259063778305929 0.0236344628799933
A00292 S6_D0 msp7 msp7-1 15994 3 1 0.0287093879016335 0.0236344628799933
A00225 S6_DX msp7 msp7-16 6435 1 1 0.0130540357966613 0.0173315355669494
A00272 S6_DX msp7 msp7-16 14558 2 1 0.027179666219211 0.0173315355669494
A00319 S6_DX msp7 msp7-16 6552 3 1 0.0117609046849758 0.0173315355669494
A00199 S7_D0 msp7 msp7-1 4868 1 1 0.00987522086373696 0.0356472175303068
A00246 S7_D0 msp7 msp7-1 28770 2 1 0.0537133532852521 0.0356472175303068
A00293 S7_D0 msp7 msp7-1 24152 3 1 0.0433530784419314 0.0356472175303068
A00226 S7_DX msp7 msp7-1 5127 1 1 0.0104006280543097 0.0169059767566419
A00273 S7_DX msp7 msp7-1 11166 2 1 0.0208468301280196 0.0169059767566419
A00320 S7_DX msp7 msp7-1 10847 3 1 0.0194704720875965 0.0169059767566419
A00200 S8_D0 msp7 msp7-15 4448 1 1 0.00902320920334881 0.0260737027277902
A00247 S8_D0 msp7 msp7-15 19280 2 1 0.0359956013673848 0.0260737027277902
A00294 S8_D0 msp7 msp7-15 18497 3 1 0.0332022976126369 0.0260737027277902
A00227 S8_DX msp7 msp7-15 8007 1 1 0.0162429937255427 0.0193660892499886
A00274 S8_DX msp7 msp7-15 13580 2 1 0.0253537482660314 0.0193660892499886
A00321 S8_DX msp7 msp7-15 9193 3 1 0.0165015257583917 0.0193660892499886
A00201 S9_D0 msp7 msp7-1 37468 1 1 0.0760075545033888 0.037108438438329
A00248 S9_D0 msp7 msp7-1 9539 2 1 0.0178092345147035 0.037108438438329
A00295 S9_D0 msp7 msp7-1 9754 3 1 0.0175085262968946 0.037108438438329
A00228 S9_DX msp7 msp7-1 10535 1 1 0.0213712924814028 0.0201970065594694
A00275 S9_DX msp7 msp7-1 7813 2 1 0.0145868067159428 0.0201970065594694
A00322 S9_DX msp7 msp7-1 13723 3 1 0.0246329204810626 0.0201970065594694
